,CAFO_ID,NH3_1_mean,NH3_1_sum,NH3_1_median,NH3_2_mean,NH3_2_sum,NH3_2_median,NH3_3_mean,NH3_3_sum,NH3_3_median,WVBuiltUp_mean,WVBuiltUp_sum,WVBuiltUp_median,WVImpVeg_mean,WVImpVeg_sum,WVImpVeg_median,WVNonHom_mean,WVNonHom_sum,WVNonHom_median,WVSoil_mean,WVSoil_sum,WVSoil_median,WVWater_mean,WVWater_sum,WVWater_median
79,85,2.0396372931344167,114.21968841552734,2.0123066902160645,2.0741669791085378,116.15335083007812,2.0776586532592773,1.888305391584124,105.74510192871094,1.892694354057312,-0.5613882201058524,-31.437740325927734,-0.5453521013259888,0.4106997081211635,22.999183654785156,0.38165581226348877,0.5613882201058524,31.437740325927734,0.5453521013259888,-0.06979062301771981,-3.9082748889923096,-0.09960876405239105,-0.6916579518999372,-38.732845306396484,-0.698754608631134
80,86,2.0417778862847222,91.8800048828125,2.0116231441497803,2.070187208387587,93.1584243774414,2.070570468902588,1.8942879570855036,85.24295806884766,1.8953919410705566,-0.5507474263509115,-24.783634185791016,-0.5526326894760132,0.40119027031792537,18.05356216430664,0.36399561166763306,0.5507474263509115,24.783634185791016,0.5526326894760132,-0.07171142896016439,-3.2270143032073975,-0.09101682156324387,-0.6884693145751953,-30.98111915588379,-0.6960783004760742
81,87,2.0193700656084945,143.37527465820312,2.0088040828704834,2.079650663993728,147.6551971435547,2.08463978767395,1.9004669189453125,134.9331512451172,1.9038900136947632,-0.5266596297143211,-37.3928337097168,-0.5361356139183044,0.3518943517980441,24.984498977661133,0.34267154335975647,0.5266596297143211,37.3928337097168,0.5361356139183044,-0.09314753975666745,-6.613475322723389,-0.1076122373342514,-0.6554289267096721,-46.53545379638672,-0.6670262217521667
82,88,2.02358301135077,139.62722778320312,2.0060951709747314,2.0684323518172554,142.72183227539062,2.0672800540924072,1.9019828464673914,131.23681640625,1.8996769189834595,-0.5859076458474864,-40.42762756347656,-0.601467490196228,0.32964982848236524,22.745838165283203,0.33585667610168457,0.5859076458474864,40.42762756347656,0.601467490196228,-0.09619911857273268,-6.637739181518555,-0.10622796416282654,-0.6883588044539742,-47.49675750732422,-0.727277934551239
83,89,2.009418535836135,158.7440643310547,2.005603790283203,2.0701842489121836,163.5445556640625,2.077234983444214,1.9063797962816456,150.60400390625,1.915132761001587,-0.4953173866754846,-39.13007354736328,-0.49649545550346375,0.2832402579392059,22.375980377197266,0.2758324146270752,0.4953173866754846,39.13007354736328,0.49649545550346375,-0.09172242200827296,-7.2460713386535645,-0.09196504950523376,-0.6085701471642603,-48.07704162597656,-0.6106441617012024
84,90,2.0289265025745737,22.318191528320312,2.0190465450286865,2.063278545032848,22.696063995361328,2.0589582920074463,1.8936535228382458,20.830188751220703,1.8968688249588013,-0.5168628259138628,-5.68549108505249,-0.5172380805015564,0.40073646198619495,4.4081010818481445,0.4053365886211395,0.5168628259138628,5.68549108505249,0.5172380805015564,-0.07545573061162775,-0.8300130367279053,-0.07765223830938339,-0.6595126065340909,-7.254638671875,-0.6726104021072388
85,91,2.0374152142068613,93.72109985351562,2.0121986865997314,2.0734259563943613,95.37759399414062,2.0699045658111572,1.8968479322350544,87.2550048828125,1.9042115211486816,-0.5002462967582371,-23.011329650878906,-0.488054096698761,0.3656242204749066,16.818714141845703,0.29321545362472534,0.5002462967582371,23.011329650878906,0.488054096698761,-0.059926447661026665,-2.7566165924072266,-0.08594538271427155,-0.6334079244862432,-29.136764526367188,-0.61487877368927
86,92,2.0136409558747945,38.259178161621094,2.0092267990112305,2.0324213128340873,38.616004943847656,2.034224510192871,1.9150125603926809,36.38523864746094,1.912737488746643,-0.5071134065326891,-9.635154724121094,-0.5071547627449036,0.2280191371315404,4.332363605499268,0.21305690705776215,0.5071134065326891,9.635154724121094,0.5071547627449036,-0.09267143199318334,-1.7607572078704834,-0.09827009588479996,-0.5854426434165553,-11.12341022491455,-0.5813726782798767
87,93,2.0920869653875176,23.012956619262695,2.085240125656128,2.0826116041703657,22.908727645874023,2.0791077613830566,1.8666853471235796,20.533538818359375,1.8789840936660767,-0.5757914889942516,-6.333706378936768,-0.5882299542427063,0.5785327391190962,6.363860130310059,0.5828610062599182,0.5757914889942516,6.333706378936768,0.5882299542427063,-0.015024317936463789,-0.16526749730110168,-0.03128525987267494,-0.7549093419855292,-8.30400276184082,-0.7644025683403015
88,94,2.092566123375526,27.203359603881836,2.083728075027466,2.074006594144381,26.962085723876953,2.0748233795166016,1.8693072979266827,24.300994873046875,1.8861452341079712,-0.6100127146794245,-7.9301652908325195,-0.5952408313751221,0.5787259615384616,7.5234375,0.5489544868469238,0.6100127146794245,7.9301652908325195,0.5952408313751221,-0.021545710471960213,-0.2800942361354828,-0.04280059412121773,-0.7772908577552209,-10.104781150817871,-0.7498663067817688
89,95,2.025964590219351,26.337539672851562,2.0097479820251465,2.061353536752554,26.797595977783203,2.0574731826782227,1.9056271773118238,24.77315330505371,1.9074660539627075,-0.5004010934096116,-6.505214214324951,-0.48693981766700745,0.36155187166654146,4.700174331665039,0.29792171716690063,0.5004010934096116,6.505214214324951,0.48693981766700745,-0.07038591458247258,-0.9150168895721436,-0.08149534463882446,-0.6344947814941406,-8.248432159423828,-0.6162264943122864
90,96,2.0270462036132812,16.21636962890625,2.0170416831970215,2.071563482284546,16.572507858276367,2.069837808609009,1.9051001071929932,15.240800857543945,1.9072374105453491,-0.5238332748413086,-4.190666198730469,-0.5281317234039307,0.395139217376709,3.161113739013672,0.40761542320251465,0.5238332748413086,4.190666198730469,0.5281317234039307,-0.0784866213798523,-0.6278929710388184,-0.0891541913151741,-0.6757310628890991,-5.405848503112793,-0.6697372794151306
91,97,2.0116372108459473,16.093097686767578,2.0115883350372314,2.0283870697021484,16.227096557617188,2.0259265899658203,1.9228819608688354,15.383055686950684,1.9243464469909668,-0.4479134678840637,-3.5833077430725098,-0.4487473964691162,0.2338494211435318,1.8707953691482544,0.22978070378303528,0.4479134678840637,3.5833077430725098,0.4487473964691162,-0.08842895925045013,-0.7074316740036011,-0.08926534652709961,-0.5576705932617188,-4.46136474609375,-0.5558502674102783
