,CAFO_ID,CAFO_sum_emission_auto,CAFO_sum_emission_uncertainty_auto,CAFO_Point_Count,CAFO_mean_emission_auto,CAFO_mean_emission_uncertainty_auto,NH3_1_median,NH3_1_mean,NH3_1_sum,NH3_2_median,NH3_2_mean,NH3_2_sum,NH3_3_median,NH3_3_mean,NH3_3_sum,WVBuiltUp_median,WVBuiltUp_mean,WVBuiltUp_sum,WVImpVeg_median,WVImpVeg_mean,WVImpVeg_sum,WVNonHom_median,WVNonHom_mean,WVNonHom_sum,WVSoil_median,WVSoil_mean,WVSoil_sum,WVWater_median,WVWater_mean,WVWater_sum
56,61,140.24619294071303,84.88091055732174,1,140.24619294071303,84.88091055732174,,,,,,,,,,,,,,,,,,,,,,,,
57,62,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
58,63,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
59,64,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
60,65,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
61,66,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
62,67,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
63,68,1351.8231313432605,550.4153260250799,8,193.11759019189435,78.6307608607257,,,,,,,,,,,,,,,,,,,,,,,,
64,69,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
65,70,1313.4199400246935,443.273978457462,5,262.68398800493867,88.65479569149241,,,,,,,,,,,,,,,,,,,,,,,,
66,71,86.35259742157804,46.362391496277255,1,86.35259742157804,46.362391496277255,,,,,,,,,,,,,,,,,,,,,,,,
67,72,85.02103034778074,21.875163900842793,3,28.340343449260246,7.291721300280931,,,,,,,,,,,,,,,,,,,,,,,,
68,73,4731.798190821309,1560.5564116689463,10,473.17981908213096,156.05564116689462,,,,,,,,,,,,,,,,,,,,,,,,
69,74,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
70,75,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,76,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
72,77,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
73,78,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
74,79,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
75,80,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
76,81,71.21570793274645,26.35790871087963,1,71.21570793274645,26.35790871087963,,,,,,,,,,,,,,,,,,,,,,,,
77,82,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
78,83,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
79,84,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
80,85,296.1284041332279,70.73252435895621,1,296.1284041332279,70.73252435895621,,,,,,,,,,,,,,,,,,,,,,,,
81,86,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
82,87,193.9091480537586,101.05630891167735,1,193.9091480537586,101.05630891167735,,,,,,,,,,,,,,,,,,,,,,,,
83,88,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
84,89,570.595192142257,200.7142595286792,3,190.19839738075234,66.90475317622641,,,,,,,,,,,,,,,,,,,,,,,,
85,90,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
86,91,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
87,92,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
88,93,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
89,94,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
90,95,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
91,96,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
92,97,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
93,98,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
94,99,380.20814697795817,94.71038028089652,3,126.73604899265273,31.570126760298837,,,,,,,,,,,,,,,,,,,,,,,,
95,100,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
96,101,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
97,102,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
98,103,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
99,104,326.41782705425214,155.25053046617995,2,163.20891352712607,77.62526523308998,,,,,,,,,,,,,,,,,,,,,,,,
